Feature,Coefficient,AbsValue
Age,-0.6541084413990379,0.6541084413990379
InterestRate,0.5208370027693893,0.5208370027693893
RepaymentRatio,0.4442784579841586,0.4442784579841586
MonthsEmployed,-0.379596995486645,0.379596995486645
EmploymentType,0.1665192836530101,0.1665192836530101
CreditScore,-0.14537328921755832,0.14537328921755832
HasDependents,-0.13950888963447255,0.13950888963447255
HasCoSigner,-0.12960629638670068,0.12960629638670068
NumCreditLines,0.11462277750356714,0.11462277750356714
Education,-0.09261115576438934,0.09261115576438934
HasMortgage,-0.08784107859975447,0.08784107859975447
DTIRatio,0.07805234097376507,0.07805234097376507
LoanAmount,0.04154709641121408,0.04154709641121408
LoanPurpose,-0.04096452259842619,0.04096452259842619
MaritalStatus,-0.019301686968569712,0.019301686968569712
Income,-0.003095375510850488,0.003095375510850488
LoanTerm,-0.0006606754306686917,0.0006606754306686917
